"variable","role","used_in_main_model","kept_in_adult_clean","reason"
"age","main predictor","yes","yes","Age is a standard individual-level predictor and may be related to income."
"workclass","main predictor","yes","yes","Workclass is employment-related and may help predict income; rows with missing workclass are removed."
"fnlwgt","removed variable","no","no","fnlwgt is a census final weight rather than an ordinary individual-level predictor; it is removed to avoid introducing survey-weighting mechanisms into the sampling-bias experiment."
"education","removed variable","no","no","education duplicates information contained in education_num; it is removed to reduce redundant information."
"education_num","main predictor","yes","yes","education_num is a numeric representation of education level and is easier to model than the text education variable."
"marital_status","retained but excluded from main model","no","yes","marital_status is correlated with relationship, sex and income; it is retained for checks but excluded from the main predictor set."
"occupation","main predictor","yes","yes","occupation is a core work-related predictor and may be strongly related to income; rows with missing occupation are removed."
"relationship","retained but excluded from main model","no","yes","relationship is likely to act as a strong proxy for sex, for example through Husband and Wife categories; it is retained but excluded from the main model."
"race","retained sensitive attribute","no","yes","race is another demographic sensitive attribute. The main experiment focuses on sex, so race is retained for descriptive checks but excluded from the main model."
"sex","sensitive attribute","no","yes","sex is the sensitive attribute used to construct Male/Female sampling-bias levels and calculate fairness metrics."
"group","sensitive group variable","no","yes","group is defined as sex and is used for bias construction and group-level fairness evaluation."
"capital_gain","main predictor","yes","yes","capital_gain is a financial predictor related to income."
"capital_loss","main predictor","yes","yes","capital_loss is a financial predictor related to income."
"hours_per_week","main predictor","yes","yes","hours_per_week measures work intensity and may help predict income."
"native_country","retained but excluded from main model","no","yes","native_country has many categories and may create sparse dummy variables; it is retained for descriptive checks but excluded from the main model."
"income","target source","no","yes","income is the original target label and is used to construct y."
"y","binary target variable","no","yes","y is the binary target variable where >50K is coded as 1 and <=50K is coded as 0."
"source_file","tracking variable","no","yes","source_file records whether the row came from adult.data or adult.test."
"row_id","tracking variable","no","yes","row_id is a unique identifier used for later train/test splitting and reproducibility."
